           TIME	           NODE	             XR	              Z	                 pH	             Na_mgL	             Cl_mgL	
              0	            296	        1.10263	        2.85645	  7.1782521254e+000	  0.0000000000e+000	  0.0000000000e+000	
              0	            297	        1.10263	         2.9834	  7.1833216821e+000	  0.0000000000e+000	  0.0000000000e+000	
              0	            298	        1.10263	        3.11035	  7.1884064480e+000	  0.0000000000e+000	  0.0000000000e+000	
              0	            299	        1.10263	         3.2373	  7.1935064649e+000	  0.0000000000e+000	  0.0000000000e+000	
              0	            300	        1.10263	        3.36426	  7.1986218304e+000	  0.0000000000e+000	  0.0000000000e+000	
              0	            301	        1.10263	        3.49121	  7.2037525869e+000	  0.0000000000e+000	  0.0000000000e+000	
              0	            302	        1.10263	        3.61816	  7.2088988145e+000	  0.0000000000e+000	  0.0000000000e+000	
              0	            303	        1.10263	        3.74512	  7.2140605376e+000	  0.0000000000e+000	  0.0000000000e+000	
              0	            304	        1.10263	        3.87207	  7.2192378366e+000	  0.0000000000e+000	  0.0000000000e+000	
              0	            305	        1.10263	        3.99902	  7.2244307740e+000	  0.0000000000e+000	  0.0000000000e+000	
              0	            308	        1.24964	      0.0634766	  7.0872430151e+000	  0.0000000000e+000	  0.0000000000e+000	
              0	            309	        1.24964	        0.19043	  7.0915324874e+000	  0.0000000000e+000	  0.0000000000e+000	
              0	            310	        1.24964	       0.317383	  7.0951829408e+000	  0.0000000000e+000	  0.0000000000e+000	
              0	            311	        1.24964	       0.444336	  7.0987602671e+000	  0.0000000000e+000	  0.0000000000e+000	
              0	            312	        1.24964	       0.571289	  7.1023454116e+000	  0.0000000000e+000	  0.0000000000e+000	
              0	            313	        1.24964	       0.698242	  7.1059383792e+000	  0.0000000000e+000	  0.0000000000e+000	
              0	            314	        1.24964	       0.825195	  7.1095392801e+000	  0.0000000000e+000	  0.0000000000e+000	
